No.,Title,Link
1,IgE level in newborn umbilical cord and its relationship with some maternal factors,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0115-1
2,Unexpected inflammation in the sympathetic ganglia in thromboangiitis obliterans: more likely sterile or infectious induced inflammation?,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0114-2
3,Immunosuppressive therapy with rituximab in common variable immunodeficiency,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0113-3
4,Sensitization profile in patients with respiratory allergic diseases: differences between conventional and molecular diagnosis (a cross-sectional study),http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0112-4
5,Non-digestible oligosaccharides scFOS/lcFOS facilitate safe subcutaneous immunotherapy for peanut allergy,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0111-5
6,IgE sensitization in a cohort of adolescents in southern Sweden and its relation to allergic symptoms,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0110-6
7,Rapid clinical improvement of atopic dermatitis in an Omalizumab treated patient,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0109-z
8,Cytology and molecular study for GSTP1 effect on asthma Iraqi patients,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0108-0
9,Recovery of smell sense loss by mepolizumab in a patient allergic to Dermatophagoides and affected by chronic rhinosinusitis with nasal polyps,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0106-2
10,Use of complementary medicine among patients with allergic rhinitis: an Italian nationwide survey,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0107-1
11,PPI adverse drugs reactions: a retrospective study,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-019-0104-4
12,Comorbidities are associated with different features of severe asthma,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0103-x
13,Focus on the role of substance P in chronic urticaria,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0101-z
14,"Markers of atopic dermatitis, allergic rhinitis and bronchial asthma in pediatric patients: correlation with filaggrin, eosinophil major basic protein and immunoglobulin E",http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0102-y
15,Rapid desensitization for brentuximab vedotin (Adceteris®) allergy: a case report,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0100-0
16,Drug induced Kounis syndrome: does oxidative stress play a role?,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0099-2
17,Urban air pollution and climate change: “The Decalogue: Allergy Safe Tree” for allergic and respiratory diseases care,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0098-3
18,The involvement of osmolarity in the safety of contrast media,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0097-4
19,Obituary,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0096-5
20,Tryptase as a marker of severity of aortic valve stenosis,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0095-6
21,Focus on the agents most frequently responsible for perioperative anaphylaxis,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0094-7
22,House dust mite-related respiratory allergies and probiotics: a narrative review,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0092-9
23,Sublingual grass allergen specific immunotherapy: a retrospective study of clinical outcome and discontinuation,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0093-8
24,Regulation of IgE activity in inhalational tolerance via formation of IgG anti-IgE/IgE immune complexes,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0091-x
25,Low incidence of pneumonia in COPD patients treated with inhaled corticosteroids undergoing pulmonary rehabilitation,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0090-y
26,Involvement of miR-126 in autoimmune disorders,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0089-4
27,Hymenoptera sting reactions in southern Italy forestry workers: our experience compared to reported data,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0087-6
28,A case of atopic dermatitis caused by Ascaris lumbricoides infection,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0088-5
29,Role of genetic variations of chitinase 3-like 1 in bronchial asthmatic patients,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0086-7
30,Importance of hypersensitivity in adverse reactions to drugs in the elderly,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0083-x
31,Bench to bedside review of myositis autoantibodies,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0084-9
32,A critical appraisal on AIT in childhood asthma,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0085-8
33,The control of allergic rhinitis in real life: a multicenter cross-sectional Italian study,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0082-y
34,Allergic sensitization to common pets (cats/dogs) according to different possible modalities of exposure: an Italian Multicenter Study,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0081-z
35,"A 13-year real-life study on efficacy, safety and biological effects of Vespula venom immunotherapy",http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0079-y
36,Biological clocks: their relevance to immune-allergic diseases,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-018-0080-0
37,Amelioration of patients with chronic spontaneous urticaria in treatment with vitamin D supplement,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0078-z
38,Immunosenescence in aging: between immune cells depletion and cytokines up-regulation,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0077-0
39,Tiotropium in asthma: back to the future of anticholinergic treatment,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0076-1
40,Selecting optimal second-generation antihistamines for allergic rhinitis and urticaria in Asia,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0074-3
41,High frequency of IgE sensitization towards kiwi seed storage proteins among peanut allergic individuals also reporting allergy to kiwi,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0073-4
42,How to fit allergen immunotherapy in the elderly,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0075-2
43,Tolerated drugs in subjects with severe cutaneous adverse reactions (SCARs) induced by anticonvulsants and review of the literature,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0072-5
44,A survey on the perception of allergy specialists about the reimbursed grass pollen tablets for seasonal allergic rhinitis in Italy,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0071-6
45,Anticonvulsant hypersensitivity syndrome after phenytoin administration in an adolescent patient: a case report and review of literature,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0069-0
46,Preventive actions of allergen immunotherapy: the facts and the effects in search of evidence,http://clinicalmolecularallergy.biomedcentral.com/track/pdf/10.1186/s12948-017-0070-7
