No.,Title,Link
1,The prevalence of asthma in adult population of southwestern Iran and its association with chronic rhinosinusitis: a GA2LEN study,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0283-6
2,Psychiatric comorbidity in chronic urticaria patients: a systematic review and meta-analysis,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0278-3
3,Association of elevated fractional exhaled nitric oxide concentration and blood eosinophil count with severe asthma exacerbations,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0282-7
4,An update to the Milk Allergy in Primary Care guideline,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0281-8
5,"Gene expression of TMEM178, which encodes a negative regulator of NFATc1, decreases with the progression of asthma severity",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0280-9
6,"Characteristics, quality of life and control of respiratory allergic diseases caused by house dust mites (HDMs) in Spain: a cross-sectional study",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0276-5
7,"Eosinophilic disorders: evaluation of current classification and diagnostic criteria, proposal of a practical diagnostic algorithm",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0277-4
8,Elderly versus younger patients with hereditary angioedema type I/II: patient characteristics and safety analysis from the Icatibant Outcome Survey,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0272-9
9,Increased platelet activating factor levels in chronic spontaneous urticaria predicts refractoriness to antihistamine treatment: an observational study,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0275-6
10,High occurrence of antihistamine resistance in patients with recurrent idiopathic angioedema,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0274-7
11,Molecular clustering of genes related to the atopic syndrome: Towards a more tailored approach and personalized medicine?,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0273-8
12,Comparison of two multiplex arrays in the diagnostics of allergy,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0270-y
13,Sesame oleosins are minor allergens,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0271-x
14,Twelve-year follow-up study after endoscopic sinus surgery in patients with chronic rhinosinusitis with nasal polyposis,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0269-4
15,Subcutaneous immunotherapy with depigmented-polymerized allergen extracts: a systematic review and meta-analysis,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0268-5
16,A specific synbiotic-containing amino acid-based formula restores gut microbiota in non-IgE mediated cow’s milk allergic infants: a randomized controlled trial,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0267-6
17,"Identification of immunodominant IgE binding epitopes of Der p 24, a major allergen of Dermatophagoides pteronyssinus",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0266-7
18,Clinical and serological follow-up of patients with WDEIA,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0265-8
19,"Psychosocial working conditions, asthma self-management at work and asthma morbidity: a cross-sectional study",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0264-9
20,"Skin microdialysis: methods, applications and future opportunities—an EAACI position paper",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0262-y
21,Correction to: Dissociating polysensitization and multimorbidity in children and adults from a Polish general population cohort,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0263-x
22,Prevalence of food hypersensitivity in relation to IgE sensitisation to common food allergens among the general adult population in West Sweden,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0261-z
23,The REal Life EVidence AssessmeNt Tool (RELEVANT): development of a novel quality assurance asset to rate observational comparative effectiveness research studies,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0256-9
24,Quality standards in respiratory real-life effectiveness research: the REal Life EVidence AssessmeNt Tool (RELEVANT): report from the Respiratory Effectiveness Group—European Academy of Allergy and Clinical Immunology Task Force,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0255-x
25,Cofactors of wheat-dependent exercise-induced anaphylaxis do not increase highly individual gliadin absorption in healthy volunteers,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0260-0
26,Adverse drug reaction classification by health professionals: appropriate discrimination between allergy and intolerance?,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0259-6
27,Comparison of hypothesis- and data-driven asthma phenotypes in NHANES 2007–2012: the importance of comprehensive data availability,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0258-7
28,"Guidance to 2018 good practice: ARIA digitally-enabled, integrated, person-centred care for rhinitis and asthma",http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0252-0
29,Cosmetics for neonates and infants: haptens in products’ composition,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0257-8
30,Two grass pollen tablets commercially available for allergy immunotherapy display different IgE epitope repertoires,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0253-z
31,Evaluation of major mite allergens from European standardized commercial extracts for in vivo diagnosis: addressing the need for precision medicine,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0254-y
32,Characterization of a subgroup of non-type 2 asthma with cow’s milk hypersensitivity in young subjects,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0250-2
33,Evaluation of basophil activation caused by transgenic rice seeds expressing whole T cell epitopes of the major Japanese cedar pollen allergens,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0249-8
34,Sensitivity and specificity of standardised allergen extracts in skin prick test for diagnoses of IgE-mediated respiratory allergies,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0248-9
35,Identification of the recently described plasminogen gene mutation p.Lys330Glu in a family from Northern Germany with hereditary angioedema,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0247-x
36,Dissociating polysensitization and multimorbidity in children and adults from a Polish general population cohort,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0246-y
37,Health-related quality of life worsens by school age amongst children with food allergy,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0244-0
38,Stepwise approach towards adoption of allergen immunotherapy for allergic rhinitis and asthma patients in daily practice in Belgium: a BelSACI-Abeforcal-EUFOREA statement,http://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-019-0243-1
